year,league_type,league_name,gender,gender_label,level,area_name,flight,team_name,players_count_reported,top_six_reported,team_rating_reported,court_rating_reported,team_url,league_url,leaguefind_url
2026,3,Adult 55+,M,Men,3.5,Metro (Chl),Adult 55 & Over 3.5 Men,EHuggins/IClarke (River Hills Country Club),10,3.21,3.12,3.14,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=EHuggins%2fIClarke (River Hills Country Club)&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=55 %26 Over Adult 3.5 Men - Tues PM&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Metro+%28Chl%29&gender=M
2026,3,Adult 55+,M,Men,3.5,Metro (Chl),Adult 55 & Over 3.5 Men,GQuattlebaum (OPRC),14,3.46,3.23,3.29,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=GQuattlebaum (OPRC)&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=55 %26 Over Adult 3.5 Men - Tues PM&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Metro+%28Chl%29&gender=M
2026,3,Adult 55+,M,Men,3.5,Metro (Chl),Adult 55 & Over 3.5 Men,JBoyles (Pine Lake),10,3.35,3.18,3.19,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=JBoyles (Pine Lake)&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=55 %26 Over Adult 3.5 Men - Tues PM&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Metro+%28Chl%29&gender=M
2026,3,Adult 55+,M,Men,3.5,Metro (Chl),Adult 55 & Over 3.5 Men,JMorse/RTownsend (JCC),11,3.29,3.17,3.21,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=JMorse%2fRTownsend (JCC)&year=2026&s=2,https://www.tennisrecord.com/adult/league.aspx?flightname=55 %26 Over Adult 3.5 Men - Tues PM&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Metro+%28Chl%29&gender=M
2026,3,Adult 55+,M,Men,3.5,Metro (Chl),Adult 55 & Over 3.5 Men,KFox/Myers (Blakeney),11,3.32,3.2,3.21,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=KFox%2fMyers (Blakeney)&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=55 %26 Over Adult 3.5 Men - Tues PM&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Metro+%28Chl%29&gender=M
2026,3,Adult 55+,M,Men,3.5,Metro (Chl),Adult 55 & Over 3.5 Men,KStaley (WSRC),11,3.26,3.15,3.17,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=KStaley (WSRC)&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=55 %26 Over Adult 3.5 Men - Tues PM&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Metro+%28Chl%29&gender=M
2026,3,Adult 55+,M,Men,3.5,Metro (Chl),Adult 55 & Over 3.5 Men,MFresina (Raintree),16,3.3,3.15,3.22,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=MFresina (Raintree)&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=55 %26 Over Adult 3.5 Men - Tues PM&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Metro+%28Chl%29&gender=M
2026,3,Adult 55+,M,Men,3.5,Metro (Chl),Adult 55 & Over 3.5 Men,MRousseaux (WSRC),14,3.47,3.38,3.39,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=MRousseaux (WSRC)&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=55 %26 Over Adult 3.5 Men - Tues PM&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Metro+%28Chl%29&gender=M
2026,3,Adult 55+,M,Men,3.5,Metro (Chl),Adult 55 & Over 3.5 Men,RCummings (Carmel),14,3.18,3.03,3.09,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=RCummings (Carmel)&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=55 %26 Over Adult 3.5 Men - Tues PM&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Metro+%28Chl%29&gender=M
2026,3,Adult 55+,M,Men,3.5,Metro (Chl),Adult 55 & Over 3.5 Men,RLinder/SPolacek (Life Time),13,3.44,3.3,3.39,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=RLinder%2fSPolacek (Life Time)&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=55 %26 Over Adult 3.5 Men - Tues PM&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Metro+%28Chl%29&gender=M
2026,3,Adult 55+,M,Men,3.5,Piedmont (GSO/HP),Adult 55 & Over 3.5 Men,Bellas 55s 3.5M Mon PM,10,3.33,3.23,3.25,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=Bellas 55s 3.5M Mon PM&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=MEN 3.5 55 %26 Over Mon PM&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Piedmont+%28GSO%2FHP%29&gender=M
2026,3,Adult 55+,M,Men,3.5,Piedmont (GSO/HP),Adult 55 & Over 3.5 Men,Chamberlin 55s 3.5M Mon PM,11,3.42,3.32,3.31,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=Chamberlin 55s 3.5M Mon PM&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=MEN 3.5 55 %26 Over Mon PM&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Piedmont+%28GSO%2FHP%29&gender=M
2026,3,Adult 55+,M,Men,3.5,Piedmont (GSO/HP),Adult 55 & Over 3.5 Men,Clutts/GRETA 55s 3.5M Mon PM,10,3.22,3.02,3.04,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=Clutts%2fGRETA 55s 3.5M Mon PM&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=MEN 3.5 55 %26 Over Mon PM&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Piedmont+%28GSO%2FHP%29&gender=M
2026,3,Adult 55+,M,Men,3.5,Piedmont (GSO/HP),Adult 55 & Over 3.5 Men,Dover 55s 3.5M Mon PM,15,3.59,3.5,3.51,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=Dover 55s 3.5M Mon PM&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=MEN 3.5 55 %26 Over Mon PM&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Piedmont+%28GSO%2FHP%29&gender=M
2026,3,Adult 55+,M,Men,3.5,Piedmont (GSO/HP),Adult 55 & Over 3.5 Men,Eaton/Moore 55s 3.5M Mon PM,13,3.44,3.26,3.28,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=Eaton%2fMoore 55s 3.5M Mon PM&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=MEN 3.5 55 %26 Over Mon PM&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Piedmont+%28GSO%2FHP%29&gender=M
2026,3,Adult 55+,M,Men,3.5,Piedmont (GSO/HP),Adult 55 & Over 3.5 Men,Pretzsch 55s 3.5M Mon PM,12,3.22,3.11,3.12,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=Pretzsch 55s 3.5M Mon PM&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=MEN 3.5 55 %26 Over Mon PM&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Piedmont+%28GSO%2FHP%29&gender=M
2026,3,Adult 55+,M,Men,3.5,Piedmont (GSO/HP),Adult 55 & Over 3.5 Men,Schneiderman 55s 3.5M Mon PM,13,3.27,3.17,3.17,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=Schneiderman 55s 3.5M Mon PM&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=MEN 3.5 55 %26 Over Mon PM&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Piedmont+%28GSO%2FHP%29&gender=M
2026,3,Adult 55+,M,Men,3.5,Piedmont (GSO/HP),Adult 55 & Over 3.5 Men,Stearns 55s 3.5M Mon PM,9,3.22,3.13,3.12,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=Stearns 55s 3.5M Mon PM&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=MEN 3.5 55 %26 Over Mon PM&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Piedmont+%28GSO%2FHP%29&gender=M
